Age,Gender,Skill_Level,Hand_Dominance,Stroke_Type,Surface_Type,Coating_Roughness_nm,Friction_Coefficient,Sweat_Level,Temperature_C,Humidity_%,Grip_Force_Mean,Grip_Force_SD,Peak_Grip_Force,Pressure_Distribution_Index,Contact_Area_cm2,EMG_Flexor_RMS,EMG_Extensor_RMS,Muscle_Fatigue_Index,Impact_Force_N,Vibration_Peak,Vibration_Frequency_Hz,Shock_Transmission_Index,Grip_Stability_Score,Slip_Event,Injury_Risk_Level
24,Male,Intermediate,Left,Backhand,Non-Coated,123.81435688341624,0.8092432308676024,Moderate,34.79991357366614,43.14692507194739,287.1814016027545,15.126119608817874,312.4551619360042,0.8927093439280318,27.11612369417649,0.5784217095917692,0.2912391104311458,45.86889532054328,394.965026602554,11.047962808404222,89.45055507404899,0.3870184380332643,87.65605353246714,0,Medium
37,Male,Intermediate,Right,Serve,Non-Coated,145.25679400983677,0.6906737340082494,Dry,27.12789925111165,41.96257955751549,197.42765082817223,28.43695222988525,251.81450079528364,0.6754683147152243,22.837035106775108,0.3297982563788929,0.2120454739437647,28.882612553592185,345.58482917088605,20.79199983591119,168.4422453701634,0.5310348855747322,75.67445885301646,0,High
32,Male,Intermediate,Right,Forehand,Non-Coated,113.31650463644188,0.5839568710223403,Dry,27.99112918108238,73.4690697037275,227.8963683712444,26.849219636931902,269.7927879645089,0.9225890428255132,21.50956205255949,0.5263676054762936,0.471188345773567,40.58251903377028,334.658434091952,13.663185870266371,112.15547257415456,0.2388982446852275,64.33913101544694,1,High
28,Female,Intermediate,Left,Forehand,Non-Coated,85.2448698467887,0.7545142520621853,Dry,23.278389369302435,85.34206447214423,195.8324981711129,23.900033249649734,288.5534880687843,0.8021934673560865,24.280924759130315,0.3062658851803577,0.2689351079942238,35.4256226362201,368.2069040869219,12.537894565564008,135.1916561628607,0.5591183127761326,60.16452115635118,0,Medium
25,Male,Intermediate,Right,Serve,Non-Coated,115.182045375112,0.6653417598333636,Moderate,27.71205077497728,60.46932916511396,235.9307539715044,26.841389169265128,211.03967690232503,0.7808542530977519,28.513062142219937,0.2109172381644127,0.4717535720643886,10.12256503186054,250.8350717776443,15.84998558367916,129.24747156900494,0.3247951126115672,88.33580457966477,0,Low
38,Male,Intermediate,Right,Forehand,Non-Coated,65.16927339921926,0.8814106187961985,Dry,23.8302433780146,81.83852151379662,273.16593896937985,24.566833192721777,306.69463007981886,0.9372815311112536,23.26270743241633,0.607302082856689,0.3278741643318802,14.87993697462587,292.3694657266388,21.07359493056478,110.39138118652195,0.6671535344949693,95.96377193864788,1,High
24,Male,Intermediate,Right,Serve,Non-Coated,149.7762929788562,0.7259492378214647,Dry,23.035043770752,41.46327305678736,198.69464519145117,22.023233622966856,279.00525061235675,0.6453781003202799,24.08389678787596,0.6280813583096834,0.2173406869625951,40.99341534399191,398.0466857939053,21.93465281190544,110.6855350405433,0.3688541637526686,87.1231435800269,0,High
36,Female,Pro,Left,Backhand,Non-Coated,87.419373964492,0.7152931163796425,Dry,24.135833764144017,78.88450279850912,285.65064389038844,19.230798005450268,293.6393423334084,0.8590494081602177,20.069642298187716,0.6402870976968201,0.5079071968896322,11.618117092270277,367.3928603619209,17.369305706781184,193.88598438232864,0.3696455232400315,61.102200383524654,0,Low
28,Female,Pro,Left,Backhand,Coated,142.48546027595648,0.6582233363114249,High,20.041394727579213,43.13999961614454,248.28690618486075,9.207126113590892,308.57458712763247,0.8864999517531432,23.941821683247884,0.2181487526596861,0.2206592699355297,48.24990628519184,263.54008343245414,21.4660990501601,116.65659861497042,0.3431627664825434,68.77566518109771,1,High
28,Female,Intermediate,Left,Serve,Non-Coated,87.38778581501523,0.6685752768842418,Dry,28.55226668002526,81.92197115986758,269.87333457566945,31.37357381578589,301.33381111597333,0.7709947810544884,24.416461842246758,0.5804609107564247,0.2896553262540092,45.76304647165185,298.9689983550487,15.440011948380386,101.97106402431982,0.5167557190374896,97.85473701129352,1,High
38,Female,Intermediate,Left,Backhand,Coated,142.09537592341158,0.7294641744279693,High,25.812200082842647,84.1183172436032,185.41869745291203,31.369595730193137,214.2982383028448,0.6022664869920186,26.301382290573702,0.6179352044790087,0.3345634535180709,24.494997685311866,315.9796300660498,10.355980204573232,110.0590735344795,0.2484368081241942,88.38787878543707,0,Medium
21,Male,Pro,Left,Serve,Coated,76.92539856279072,0.6573326783602482,Dry,33.48033528790896,79.29869211911571,191.2605784021046,24.039277639160897,317.3888114173692,0.7835177771487617,23.58265042519468,0.3558490651606899,0.2530997802324001,22.41535456617005,390.1875946907597,13.3078193931982,163.42418938413516,0.2267496771302917,89.49839894134361,0,Medium
25,Male,Pro,Left,Forehand,Non-Coated,123.65972831213874,0.8623067095289443,High,20.610607604187816,81.03745122056445,254.50334236771928,15.23287623927016,291.50698727506045,0.6537291750895828,17.963254419976863,0.435225649443355,0.5654276643572504,34.51727147025623,337.9280596894492,13.621929309855323,117.0653550078455,0.5480625801855801,92.25296992571614,0,Medium
20,Male,Pro,Left,Forehand,Coated,144.6102213649918,0.7036562763501881,Dry,20.64800451283625,68.07422831661594,280.5830295514545,8.759538189050096,307.2321263010576,0.7968996825917015,23.728891263836957,0.4039575748088569,0.4487345963667219,34.471704879420884,261.58384246691065,19.39249093346456,100.5926884386302,0.6728051482325561,96.50345083009788,1,High
39,Female,Intermediate,Right,Serve,Coated,111.05787460153452,0.6522077294045585,High,33.288102759688755,53.2442471291326,284.86381014302606,8.038577712508303,239.22525875181324,0.8585165165002484,19.46807113614529,0.4200511694865406,0.5501583787225752,13.561327732130142,326.3609889422137,11.490931668014792,129.738196325113,0.5718630264261647,77.56812710447541,1,Low
38,Male,Beginner,Right,Forehand,Non-Coated,114.53217483523638,0.6043881917394023,High,21.89966963306512,72.16155013304834,262.6043190320498,9.968499522508548,233.21408287763865,0.7858750004401094,16.309867425626095,0.6233520943198972,0.4728208251830306,18.61542716673222,293.40807047280754,12.0988521590969,94.10560437746946,0.3249298232500537,77.20566775868305,1,Low
19,Male,Beginner,Left,Backhand,Coated,51.31748698542562,0.7853227542051253,High,20.032401561860027,61.97708245381807,204.1126464176812,17.716930811481454,323.9138416791179,0.8207807036704879,27.38149697189792,0.4089343757586794,0.5967781624014648,35.4586634347655,300.80521324092865,17.37123532058237,127.83990181146724,0.381077885886925,60.9237693877217,1,Medium
